,Ranking,Country,Total,Female,Males
79,73,Saint Lucia,76.67,78.06,75.27
80,74,Malaysia,76.65,78.78,74.71
81,75,Brazil,76.57,80.14,73.01
82,76,Romania,76.5,79.91,73.13
83,77,Serbia,76.47,79.05,73.89
84,78,Lithuania,76.41,81.7,70.97
85,79,Brunei,76.35,77.64,75.17
86,80,North Macedonia,76.26,78.32,74.26
87,81,Syria,76.06,79.11,73.13
88,82,Honduras,75.87,78.14,73.57
89,83,Kuwait,75.85,77.06,75.09
90,84,Vietnam,75.77,79.85,71.73
91,85,Latvia,75.73,80.37,70.81
92,86,Saudi Arabia,75.69,77.37,74.47
93,87,Armenia,75.55,78.9,71.82
94,88,Mauritius,75.51,78.92,72.21
95,89,Bulgaria,75.49,79.06,72.05
96,90,Mexico,75.41,78.17,72.62
97,91,Nicaragua,75.23,78.65,71.75
98,92,Belarus,75.2,79.9,70.15
99,93,Belize,75.09,78.25,72.14
100,94,Guatemala,75.05,77.89,72.14
101,95,Jordan,75.01,76.82,73.28
102,96,Jamaica,74.88,76.6,73.17
103,97,Dominican Republic,74.65,77.9,71.58
104,98,State of Palestine,74.62,76.38,72.92
105,99,Paraguay,74.59,76.78,72.55
106,100,Bahamas,74.28,76.51,71.95
107,101,Georgia,74.24,78.54,69.85
108,102,Micronesia,74.08,77.2,71.14
109,103,El Salvador,74.06,78.48,69.27
110,104,Trinidad and Tobago,73.91,76.66,71.24
111,105,Kazakhstan,73.9,77.97,69.55
112,106,Samoa,73.75,75.97,71.69
113,107,Seychelles,73.74,77.71,70.26
114,108,Cabo Verde,73.58,76.83,70.15
115,109,Bangladesh,73.57,75.6,71.8
116,110,Libya,73.44,76.46,70.61
117,111,Solomon Islands,73.38,75.31,71.6
118,112,Azerbaijan,73.33,75.87,70.76
119,113,Russia,72.99,78.15,67.62
120,114,St. Vincent & Grenadines,72.98,75.62,70.66
121,115,North Korea,72.89,76.37,69.26
122,116,Bhutan,72.77,73.33,72.27
123,117,Grenada,72.59,75.16,70.24
124,118,Egypt,72.54,74.95,70.23
125,119,Ukraine,72.5,77.27,67.56
126,120,Bolivia,72.35,75.35,69.5
127,121,Venezuela,72.34,76.25,68.59
128,122,Indonesia,72.32,74.64,70.12
129,123,Moldova,72.3,76.53,68.02
130,124,Suriname,72.13,75.55,68.88
131,125,Uzbekistan,72.04,74.26,69.8
132,126,Kyrgyzstan,71.95,76.03,67.85
133,127,Tajikistan,71.76,74.11,69.5
134,128,Nepal,71.74,73.23,70.13
135,129,Philippines,71.66,75.92,67.67
136,130,Tonga,71.32,73.38,69.28
137,131,Western Sahara,71.08,73.19,69.36
138,131,Iraq,71.08,73.21,68.96
139,132,Sao Tome & Principe,71.01,73.5,68.54
140,133,Vanuatu,70.99,72.75,69.4
141,134,Cambodia,70.54,72.69,68.2
142,135,Mongolia,70.53,74.79,66.43
143,136,India,70.42,71.8,69.16
144,137,Guyana,70.26,73.53,67.22
145,138,Timor-Leste,70.18,72.36,68.14
146,139,Rwanda,70.0,72.16,67.75
147,140,Botswana,69.86,72.69,66.72
148,141,Kiribati,69.17,73.12,65.0
149,142,Laos,68.89,70.79,67.04
150,143,Senegal,68.87,70.88,66.64
151,144,Turkmenistan,68.63,72.19,65.1
152,145,Micronesia,68.27,70.07,66.54
153,146,Madagascar,68.21,69.92,66.53
154,147,Fiji,67.91,69.97,66.0
155,148,Djibouti,67.87,70.16,65.84
156,149,Ethiopia,67.81,69.8,65.86
157,150,Pakistan,67.79,68.9,66.77
158,151,Myanmar,67.78,70.81,64.65
159,152,Eritrea,67.48,69.75,65.26
160,153,Kenya,67.47,69.87,65.04
161,154,Gabon,67.03,69.27,64.93
162,155,Yemen,66.44,68.16,64.72
163,156,Tanzania,66.39,68.25,64.52
164,157,Sudan,66.09,68.03,64.18
165,158,Afghanistan,65.98,67.59,64.47
166,159,Malawi,65.62,68.77,62.45
167,160,Mauritania,65.57,67.24,63.88
168,161,Papua New Guinea,65.22,66.62,63.92
169,162,Congo,65.21,66.73,63.67
170,163,Comoros,65.03,66.88,63.24
171,164,Liberia,65.0,66.48,63.54
172,165,Haiti,64.99,67.21,62.77
173,166,Ghana,64.94,66.13,63.78
174,167,South Africa,64.88,68.42,61.46
175,168,Namibia,64.86,67.67,61.83
176,169,Zambia,64.7,67.71,61.66
177,170,Uganda,64.38,66.67,61.99
178,171,Niger,63.62,64.89,62.41
179,172,Gambia,63.26,64.73,61.8
180,173,Burkina Faso,62.98,63.78,62.06
181,174,Benin,62.84,64.45,61.23
182,175,Burundi,62.71,64.56,60.85
183,176,Guinea,62.64,63.25,61.79
184,177,Angola,62.22,65.12,59.46
185,178,Zimbabwe,62.16,63.66,60.39
186,179,Mozambique,62.13,64.95,59.05
187,179,Togo,62.13,63.08,61.16
188,180,DR Congo,61.6,63.21,60.01
189,181,Eswatini,61.05,65.67,56.98
190,182,Mali,60.54,61.39,59.69
191,183,Cameroon,60.32,61.66,58.99
192,184,Equatorial Guinea,59.82,61.08,58.76
193,185,Guinea-Bissau,59.38,61.33,57.31
194,186,Côte d'Ivoire,58.75,60.13,57.5
195,187,South Sudan,58.74,60.31,57.21
196,188,Somalia,58.34,60.11,56.62
197,189,Sierra Leone,55.92,56.78,55.01
198,190,Nigeria,55.75,56.75,54.8
199,191,Lesotho,55.65,58.9,52.52
200,192,Chad,55.17,56.65,53.73
201,193,Central African Republic,54.36,56.58,52.16
