,country,date,value
9486,"Korea, Rep.",2021,34997.7816427848
9548,Kosovo,2021,5269.78390114389
9610,Kuwait,2021,
9672,Kyrgyz Republic,2021,1276.7003650159
9734,Lao PDR,2021,2535.6234315211
9796,Latvia,2021,21148.1629405415
9858,Lebanon,2021,4136.14634699332
9920,Lesotho,2021,1094.09818489303
9982,Liberia,2021,675.66318584916
10044,Libya,2021,6357.19555043805
10106,Liechtenstein,2021,
10168,Lithuania,2021,23723.3402510345
10230,Luxembourg,2021,133590.146975586
10292,"Macao SAR, China",2021,43873.5911643329
10354,Madagascar,2021,500.511031950657
10416,Malawi,2021,634.835660105302
10478,Malaysia,2021,11109.2618387745
10540,Maldives,2021,10366.2933584066
10602,Mali,2021,873.794862375503
10664,Malta,2021,33486.671983855
10726,Marshall Islands,2021,6172.14506539834
10788,Mauritania,2021,2166.04679858214
10850,Mauritius,2021,9106.23720230699
10912,Mexico,2021,10045.6805004963
10974,"Micronesia, Fed. Sts.",2021,3571.33676887856
11036,Moldova,2021,5230.66173289497
11098,Monaco,2021,234315.460503547
11160,Mongolia,2021,4566.14015433014
11222,Montenegro,2021,9465.70399879557
11284,Morocco,2021,3795.38012695313
11346,Mozambique,2021,491.839112773674
11408,Myanmar,2021,1209.92694225482
11470,Namibia,2021,4865.55776470864
11532,Nauru,2021,10648.1413901852
11594,Nepal,2021,1208.21853383767
11656,Netherlands,2021,57767.8788108173
11718,New Caledonia,2021,37159.5467662165
11780,New Zealand,2021,48781.0266328884
11842,Nicaragua,2021,2045.53540189014
11904,Niger,2021,590.629454795899
11966,Nigeria,2021,2065.74906750923
12028,North Macedonia,2021,6694.64112581709
12090,Northern Mariana Islands,2021,
12152,Norway,2021,89154.2760934922
12214,Oman,2021,19509.4664633867
12276,Pakistan,2021,1505.01019279429
12338,Palau,2021,12083.8881491345
12400,Panama,2021,14617.6044816372
12462,Papua New Guinea,2021,2672.94579035518
12524,Paraguay,2021,5891.49996504641
12586,Peru,2021,6621.57433601881
12648,Philippines,2021,3460.53096344408
12710,Poland,2021,17999.9099495446
12772,Portugal,2021,24567.5092651
12834,Puerto Rico,2021,32640.710335631
12896,Qatar,2021,66838.357433014
12958,Romania,2021,14858.2294290445
13020,Russian Federation,2021,12194.77734375
13082,Rwanda,2021,822.3479885942
13144,Samoa,2021,3857.31846401804
13206,San Marino,2021,
13268,Sao Tome and Principe,2021,2360.54355385897
13330,Saudi Arabia,2021,23185.8707917797
13392,Senegal,2021,1636.89320864296
13454,Serbia,2021,9230.17831602601
13516,Seychelles,2021,14653.3093943039
13578,Sierra Leone,2021,480.039211301066
13640,Singapore,2021,72794.0030226738
13702,Sint Maarten (Dutch part),2021,
13764,Slovak Republic,2021,21391.9253336042
13826,Slovenia,2021,29291.4006234431
13888,Solomon Islands,2021,2304.84456746354
13950,Somalia,2021,446.981559635259
14012,South Africa,2021,7055.04477598783
14074,South Sudan,2021,
14136,Spain,2021,30103.513733191
14198,Sri Lanka,2021,4013.68765683604
14260,St. Kitts and Nevis,2021,18082.6101907478
14322,St. Lucia,2021,9414.22623085983
14384,St. Martin (French part),2021,
14446,St. Vincent and the Grenadines,2021,8666.38704104884
14508,Sudan,2021,751.821350097656
14570,Suriname,2021,4869.13422621242
14632,Sweden,2021,61028.7380600287
14694,Switzerland,2021,91991.6004583563
14756,Syrian Arab Republic,2021,
14818,Tajikistan,2021,897.047510293411
14880,Tanzania,2021,1099.28759765625
14942,Thailand,2021,7066.19054595323
15004,Timor-Leste,2021,2741.39393111832
15066,Togo,2021,973.206129076133
15128,Tonga,2021,4426.00063706281
15190,Trinidad and Tobago,2021,16032.5027680992
15252,Tunisia,2021,3807.13915027254
15314,Turkiye,2021,9661.23597511355
15376,Turkmenistan,2021,
15438,Turks and Caicos Islands,2021,20908.5827016004
15500,Tuvalu,2021,5632.00299343641
15562,Uganda,2021,883.892032311279
15624,Ukraine,2021,4835.57177734375
15686,United Arab Emirates,2021,44315.5541834116
15748,United Kingdom,2021,46510.2827819127
15810,United States,2021,70248.6290002242
15872,Uruguay,2021,17313.1883484186
15934,Uzbekistan,2021,1983.06472288992
15996,Vanuatu,2021,2996.62106154483
16058,"Venezuela, RB",2021,
16120,Vietnam,2021,3756.48912117326
16182,Virgin Islands (U.S.),2021,
16244,West Bank and Gaza,2021,3663.96905468875
16306,"Yemen, Rep.",2021,
16368,Zambia,2021,1137.34363269164
16430,Zimbabwe,2021,1773.92041088078
